Latitude (decimal degrees):	38.110
Longitude (decimal degrees):	15.650
Elevation (m):	67
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int,WS60m,T_cell
20190409:1810,0.0,0.0,10.21,2.62,0.0,3.37,10.2
20190409:1910,0.0,0.0,9.61,2.14,0.0,2.75,9.6
20190409:2010,0.0,0.0,9.39,2.07,0.0,2.66,9.4
20190409:2110,0.0,0.0,8.91,2.14,0.0,2.75,8.9
20190409:2210,0.0,0.0,8.68,2.14,0.0,2.75,8.7
20190409:2310,0.0,0.0,8.59,2.0,0.0,2.57,8.6
20190410:0010,0.0,0.0,8.5,1.86,0.0,2.39,8.5
20190410:0110,0.0,0.0,8.3,1.93,0.0,2.48,8.3
20190410:0210,0.0,0.0,8.22,1.93,0.0,2.48,8.2
20190410:0310,0.0,0.0,8.01,2.0,0.0,2.57,8.0
20190410:0410,0.0,0.0,7.91,2.07,0.0,2.66,7.9
20190410:0510,43.0,7.04,8.01,1.86,0.0,2.39,9.4
20190410:0610,272.0,18.83,9.3,1.45,0.0,1.86,17.8
20190410:0710,478.0,30.45,11.83,2.0,0.0,2.57,26.8
20190410:0810,654.01,41.46,13.03,2.28,0.0,2.93,33.5
